facility,survey_item,response,auditor_assigned_category,re_assigned_response,translated,original_language
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,TJ Ownes should be compensated on the level of all other staff that heads and manage other Cultural facilities on the behalf of the city of Austin.,N/A,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,I would like to see more professional productions in the theater. I would like Spectrum Theater Group to have the space as their home space.,N/A,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,"The dance studio floor is consistently dirty, often with debris on the floor which can be hazardous to dancers' feet (small pebbles; I've even found curtain rod hooks and metal wires ON THE FLOOR). The carpet runners provided from the time the facility opened appear to have not been cleaned since they were installed; I have to sweep the floor every time I use the facility. The bathroom is consistently out of soap; the toilet has a nasty ""ring"" in the bowl, as if it hasn't been scrubbed in years, and the floor does not appear to have EVER been mopped! The mirrors are smeared with fingerprints and have ""pock marks""/damage. The ""marley"" covering the floor is puckering and the tape that binds it together is frayed, creating trip hazards. The space in general is WAAY too small; I don't know who decided such a small space was adequate to accommodate the myriad of cultural/artistic needs of the Black community; it appears the space was built without any real thought as to our needs. Instead of a tiny meeting room and tiny dance studio, MUCH larger facilities are needed; in addition to a larger meeting space and dance studio, there should've been a performance hall and SEVERAL meeting rooms (some small, and at least one large one). It appears the powers that be approved the construction of this tiny, inadequate space so it can say they did ""something"" for the Black community. I have been to the Mexican-American Cultural Center and the Asian-American Cultural Center; BOTH have facilities which are FAR-LARGER and more accommodating than the tiny ""bone"" ""thrown"" to Austin Blackfolk. Why was it determined our facility deserved to be the TINIEST and LEAST-APPOINTED?",Negative,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,"This facility needs some TLC. It needs renovation, expansion to accommodate more community programming or restructuring",Negative,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,The facility needs to be updated and a deep clean. Great location and I see a wonderful opportunity here for people to gather and learn.,Negative,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,We need statues of pharoahs and black queens because we were also descendents of Kings and queens of Africa and America.  It needs to showcase black Indians in America as well.,N/A,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,"This facility needs an update to its video projector.  The last time I was there I helped jerry-rig and old projector and they said they always needed to do that to project to the screen in their auditorium.  City of Austin should really spend the money to update their projector and properly set it up.  However, I saw how they make events work with what they have I commend them for that.  Come on Austin, TX, spend more money on this facility and at least give them a new video projection set up.",N/A,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,Austin is the worst mixed culture. Fuck this place,N/A,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,"As a sixth generation Austinite, I would like to see more spaces dedicated to Hispanic heritage in accessible areas of town. Rainey street is not feasible.",N/A,False,False,English
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,"Current room size limits gatherings to small groups. However, the location is an excellent central Austin choice.",Negative,False,False,English
