Unnamed: 0,id,year,method,the_city_of_austin_as_a_place_to_live,the_city_of_austin_as_a_place_to_work,the_city_of_austin_as_a_place_to_raise_children,the_city_of_austin_as_a_place_to_retire,overall_quality_of_life_in_the_city,how_well_the_city_of_austin,access_to_affordable_quality,access_to_affordable_quality_1,access_to_affordable_quality_2,access_to_affordable_quality_3,availability_of_affordable,overall_quality_of_development,overall_quality_of_planning,city_s_effort_to_promote,overall_quality_of_the_austin,water_and_wastewater_rates,value_of_services_received,overall_quality_of_city_parks,quality_of_city_of_austin,overall_quality_of_city_of,number_of_city_of_austin,number_of_city_of_austin_1,appearance_of_city_of_austin,overall_satisfaction_with,quality_of_youth_athletic,quality_of_adult_athletic,quality_of_outdoor_athletic,cleanliness_of_city_streets,cleanliness_of_your,energy_conservation_program,overall_quality_of_wastewater,overall_management_of,the_water_quality_of_lakes,water_conservation_programs,overall_quality_of_drinking,quality_of_residential_garbage,quality_of_residential_yard,household_hazardous_waste,bulky_item_pick_up_removal,quality_of_residential,animal_services_shelter,overall_quality_of_health,shot_for_tots_and_big_shots,medical_assistance_provided,overall_quality_of_fire,timeliness_of_fire_department,flood_control_efforts,timeliness_of_ems_response,overall_quality_of_police,speed_of_police_response,enforcement_of_local_traffic,overall_quality_of_public,adequacy_of_street_lighting,enforcement_of_local_codes,overall_quality_of_municipal,water_and_wastewater_utility,i_feel_safe_in_my_neighborhood,i_feel_safe_in_my_neighborhood_1,i_feel_safe_walking_alone,i_feel_safe_walking_alone_1,i_feel_safe_in_city_parks,traffic_flow_on_major_highways,traffic_flow_on_major_city,timing_of_traffic_signals,on_street_bicycle,off_street_bicycle,overall_maintenance_of_major,condition_of_major_city,condition_of_streets_in_your,mowing_and_trimming_along,pedestrian_accessibility,overall_maintenance_of_city,condition_of_sidewalks_in,overall_quality_of_city,materials_at_libraries,library_programs,overall_quality_of_services,overall_quality_of_customer,services_provided_by_the,overall_effectiveness_of,the_city_s_effort_to_support,the_city_s_efforts_to_support,overall_value_that_you_receive,overall_quality_of_electric,austin_energy_customer_service,reliability_of_your_electric,water_and_wastewater_utility_1,employees_of_the_city_of,safety_of_equipment_or,satisfaction_with_city_of,cleanliness_of_library,library_hours,safety_of_your_drinking_water,code_enforcement_of_weed,helpfulness_of_library_staff,review_services_for,the_city_s_efforts_to_offer,food_safety_inspection_program,neighborhood_planning_zoning,accessibility_of_municipal,have_you_visited_an_austin,have_you_used_a_city_of_austin,have_you_participated_in,have_you_visited_a_city_pool,have_you_visited_a_city,have_you_used_the_city_s,have_you_used_the_city_s_1,have_you_visited_an_austin_1,have_you_participated_in_1,have_you_had_contact_with,have_you_had_contact_with_1,have_you_visited_the_austin,have_you_had_contact_with_2,have_you_visited_the_austin_1,have_you_called_3_1_1,have_you_called_9_1_1,have_you_had_contact_with_3,have_you_had_contact_with_4,have_you_had_contact_with_5,have_you_had_contact_with_6,have_you_had_contact_with_7,does_austin_energy_provide,does_the_city_of_austin,does_the_city_of_austin_1,have_you_participated_in_3,have_you_participated_in_4,have_you_visited_a_city_of,have_you_used_park_equipment,have_you_participated_in_5,approximately_how_many_years,which_of_the_following_best,how_many_children_if_any,how_many_dependents_including,which_of_the_following_best_1,are_you_hispanic_latino_or,race_ethnicity_recode,which_of_the_following_best_9,what_is_your_gender,do_you_own_or_rent_your_home,what_is_your_home_zip_code,zip_code,city,state,council_district,block_level_x_longitude,block_level_y_latitude,date_as_of_date,which_of_the_following_best_7,which_of_the_following_best_8,which_of_the_following_best_6,which_of_the_following_best_3,which_of_the_following_best_2,safety_in_city_parks_and,overall_quality_of_planning_1,bicycle_accessibility_the,overall_maintenance_of_city_1
0,2017_6047,2017,Mail,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Don't Know,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,21 to 30,55-64 years,1,One,African American/Black,No,African American/Black Only,less than $20K,Female,Own,78723,78723,Austin,TX,1,-97.677,30.291,2017-01-01T00:00:00.000,,,,,,,,,
1,2017_4205,2017,Web,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Agree,Neutral,Agree,Neutral,Agree,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,16 to 20,35-44 years,1,Two,,Yes,Hispanic,"$80K-149,999",Female,Own,78723,78723,Austin,TX,1,-97.684,30.29,2017-01-01T00:00:00.000,Other,Hispanic,,,,,,,
2,2017_4160,2017,Web,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Very Dissatisfied,Don't Know,Don't Know,Satisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,Dissatisfied,Don't Know,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Don't Know,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,Don't Know,Neutral,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Satisfied,Neutral,Neutral,Satisfied,Neutral,Don't Know,Dissatisfied,Don't Know,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Very Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Very Dissatisfied,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Neutral,Very Dissatisfied,Don't Know,Dissatisfied,Don't Know,Don't Know,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Very Dissatisfied,Agree,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Don't Know,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,11 to 15,35-44 years,0,One,,Yes,Hispanic,"$80K-149,999",Female,Own,78745,78745,Austin,TX,3,-97.761,30.21,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
3,2017_4161,2017,Web,Satisfied,Very Satisfied,Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Don't Know,Satisfied,Satisfied,Very Dissatisfied,Don't Know,Neutral,Very Dissatisfied,Very Satisfied,Very Satisfied,Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Neutral,Satisfied,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Don't Know,Very Dissatisfied,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Neutral,Don't Know,Neutral,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,21 to 30,18-34 years,0,,,No,Caucasian/White Only,"$60K-79,999",Male,Rent,78758,78758,Austin,TX,4,-97.696,30.386,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
4,2017_4162,2017,Web,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Don't Know,Satisfied,Don't Know,Very Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,21 to 30,45-54 years,1,Three,,No,Caucasian/White Only,"$80K-149,999",Female,Own,78753,78753,Austin,TX,1,-97.669,30.368,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
5,2017_4163,2017,Web,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Dissatisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Neutral,Satisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Satisfied,Agree,Satisfied,Don't Know,Very Satisfied,Neutral,Very Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,16 to 20,35-44 years,0,Five or More,,Yes,Hispanic,Not provided,Male,Rent,78750,78750,Austin,TX,6,-97.797,30.427,2017-01-01T00:00:00.000,Other,Hispanic,,,,,,,
6,2017_4164,2017,Web,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Neutral,Neutral,Satisfied,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Very Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Dissatisfied,Don't Know,Dissatisfied,Don't Know,Don't Know,Neutral,Agree,Agree,Agree,Neutral,Agree,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Don't Know,Don't Know,Neutral,Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Don't Know,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Don't Know,Don't Know,Don't Know,Neutral,Satisfied,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,Don't Know,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,21 to 30,18-34 years,1,Two,,Yes,Hispanic,"$60K-79,999",Female,Rent,78725,78725,Austin,TX,3,-97.669,30.259,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
7,2017_4165,2017,Web,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,Dissatisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Neutral,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Agree,Satisfied,Don't Know,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,11 to 15,35-44 years,1,Two,African American/Black,No,African American/Black Only,"$60K-79,999",Female,Rent,78747,78747,Austin,TX,2,-97.75,30.151,2017-01-01T00:00:00.000,,,,,,,,,
8,2017_4166,2017,Web,Very Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,Very Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Don't Know,Very Satisfied,Neutral,Neutral,Don't Know,Don't Know,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Neutral,Neutral,Satisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Don't Know,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Don't Know,Neutral,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,Neutral,Agree,Satisfied,Don't Know,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Very Dissatisfied,Don't Know,Don't Know,Very Dissatisfied,Dissatisfied,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,6 to 10,18-34 years,0,One,,No,Caucasian/White Only,"$80K-149,999",Male,Own,78704,78704,Austin,TX,9,-97.752,30.24,2017-01-01T00:00:00.000,,,Caucasian/White,,,,,,
9,2017_4167,2017,Web,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied,Very Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Satisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Very Dissatisfied,Neutral,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Satisfied,Neutral,Don't Know,Satisfied,Neutral,Don't Know,Neutral,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Satisfied,Neutral,Neutral,Don't Know,Don't Know,Satisfied,Dissatisfied,Don't Know,Neutral,Very Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Satisfied,Don't Know,Very Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Don't Know,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Not Provided,18-34 years,0,Three,,No,Multiple Races/Other,"$80K-149,999",Female,Rent,78750,78750,Austin,TX,10,-97.799,30.371,2017-01-01T00:00:00.000,,,Caucasian/White,Asian/Pacific Islander,,,,,
